,"2,797,681","5,754,582","1,767,141","152,000,722","2,352,755","107,664,370","1,299,703","2,742,795","746,156","4,386,641","628,925","9,958,821","383,934","5,372,937","22,212","-137,645","72,248","216,851","26,317","374,856","1,029,713","97,904,430","20,253,282","873,069","88,322,814","3,116,347","1,030,787","96,938,473","5,454,422","33,366","135,053","2,267,901","19,675,617","2,164,862","19,623,933","350,151","562,770","1,381,302"
"$25,000 under $50,000",*         ,*         ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--             ,*         
"$50,000 under $75,000",*         ,*         ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--             ,*         
"$75,000 under $100,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        
"$100,000 or more     ",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98671,"7,739","16,970","5,270","402,836","6,520","303,004","3,499","7,710","1,721","6,176","1,542","23,156","1,188","12,840",119,"-1,589",161,479,46,601,"3,546","283,723","70,115","2,910","245,789","8,869","3,567","282,077","19,983",122,466,"6,312","43,603","6,103","43,062",897,"1,474","4,034"
"Under $10,000        ","1,244","1,687",299,"4,213",885,"5,021",336,301,153,221,154,-7,174,212,*         ,*              ,--        ,--             ,10,31,87,475,"1,004",49,279,44,117,-540,321,--        ,--             ,257,42,376,154,333,376,502
"$10,000 under $25,000","1,489","2,617",727,"25,614","1,140","18,581",468,729,206,280,170,89,173,"1,081",24,-410,18,38,--        ,--             ,230,"4,156","3,261",166,"3,055",278,228,"4,126",714,--        ,--             ,"1,121",902,"1,032",995,392,948,751
"$25,000 under $50,000","1,904","4,173","1,401","70,447","1,661","56,847",761,981,353,629,295,449,292,"2,048",24,-203,52,156,*         ,*              ,795,"31,016","11,416",619,"24,188","1,169",793,"30,934","2,822",--        ,--             ,"1,841","4,881","1,645","4,602",172,150,988
"$50,000 under $75,000","1,453","3,880","1,347","89,862","1,326","74,733",765,"1,043",340,703,311,"1,062",239,"1,996",24,-235,40,113,*         ,*              ,"1,003","62,459","16,922",805,"50,105","1,678","1,002","62,392","4,658",*         ,*              ,"1,447","8,013","1,407","7,377",--        ,--             ,840
"$75,000 under $100,000",862,"2,442",815,"74,178",798,"62,685",541,687,286,545,244,"1,455",145,"1,793",22,-290,21,65,10,72,727,"62,827","14,553",634,"54,860","1,387",725,"62,667","4,484",*         ,*              ,860,"7,546",857,"7,206",--        ,--             ,465
"$100,000 or more     ",787,"2,171",681,"138,522",710,"85,137",628,"3,969",383,"3,798",368,"20,108",165,"5,710",25,-451,30,107,26,498,704,"122,790","22,959",637,"113,302","4,313",702,"122,498","6,984",122,466,786,"22,219",786,"22,728",--        ,--             ,488
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98672,"2,279","4,931","1,533","111,219","1,828","66,172","1,140","3,712",617,"3,366",586,"14,990",444,"5,336",73,-435,86,296,27,381,726,"62,986","13,297",574,"52,535","2,004",728,"62,465","3,750",32,119,"1,753","12,625","1,697","12,810",358,649,"1,369"
"Under $10,000        ",441,614,119,"1,180",301,"1,651",135,158,75,103,73,-25,74,39,14,-2,--        ,--             ,--        ,--             ,15,98,166,12,73,18,23,-131,61,--        ,--             ,101,19,151,63,131,153,236
"$10,000 under $25,000",529,"1,048",364,"8,983",410,"6,214",177,300,90,193,80,111,81,622,*         ,*              ,10,28,--        ,--             ,69,"1,240",942,54,"1,001",69,66,"1,194",153,--        ,--             ,358,271,329,355,171,445,314
"$25,000 under $50,000",596,"1,349",428,"21,726",514,"16,884",290,458,134,244,131,375,106,887,27,-117,26,80,--        ,--             ,211,"8,059","2,830",153,"5,840",294,211,"8,059",633,--        ,--             ,581,"1,446",516,"1,392",56,51,357
"$50,000 under $75,000",337,925,314,"20,554",297,"15,419",215,367,108,355,95,711,74,672,13,-54,30,94,12,60,162,"9,845","2,465",126,"7,716",300,160,"9,725",667,--        ,--             ,337,"1,845",326,"1,698",--        ,--             ,208
"$75,000 under $100,000",160,460,160,"13,727",142,"9,616",125,350,67,376,65,761,45,523,*         ,*              ,*         ,*              ,*         ,*              ,108,"9,253","2,038",91,"7,822",280,108,"9,253",541,--        ,--             ,160,"1,442",159,"1,394",--        ,--             ,97
"$100,000 or more     ",216,535,148,"45,049",164,"16,388",198,"2,079",143,"2,095",142,"13,057",64,"2,593",19,-262,20,94,15,321,161,"34,491","4,856",138,"30,083","1,043",160,"34,365","1,695",32,119,216,"7,602",216,"7,908",--        ,--             ,157
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98673,128,235,56,"3,862",101,"2,814",36,19,12,5,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,13,741,134,13,583,12,14,731,27,--        ,--             ,86,330,85,317,32,33,71
"Under $10,000        ",40,64,20,175,30,150,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,*         ,*              ,*         ,*              ,22,23,20
"$10,000 under $25,000",28,44,6,472,21,293,23,17,12,5,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,13,583,12,*         ,*              ,*              ,--        ,--             ,27,14,29,15,10,10,14
"$25,000 under $50,000",28,60,16,968,23,618,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,14,731,27,--        ,--             ,28,68,25,64,*         ,*              ,14
"$50,000 under $75,000",21,46,13,"1,310",27,"1,753",13,2,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,13,741,134,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,21,146,21,136,--        ,--             ,23
"$75,000 under $100,000",11,21,1,937,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,10,102,10,102,--        ,--             ,*         
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--             ,*         
