Total,"2,860,825","5,865,799","1,794,371","166,580,039","2,412,365","114,046,697","1,368,475","3,528,026","748,124","3,862,773","651,545","14,886,748","403,776","5,996,877","23,232","-157,511","73,677","264,541","27,138","415,068","1,067,582","109,369,624","22,529,755","899,373","98,569,012","3,435,488","1,063,234","107,890,387","5,925,136","47,972","187,582","2,337,779","22,076,820","2,234,434","22,075,876","346,390","585,289","1,422,842"
99333,22,53,20,781,*         ,*              ,12,16,11,54,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,12,70,13,94,0,0,19
"Under $10,000        ",*         ,*         ,*         ,*              ,0,0,12,16,11,54,*         ,*              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,70,13,94,0,0,*         
"$10,000 under $25,000",22,53,20,781,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0,0,0,*         ,*              ,*              ,0,0,0,0,0,0,0,*         ,*              ,0,0,19
"$25,000 under $50,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         ,*              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*         ,*              ,*         ,*              ,0,0,*         
"$50,000 under $75,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"$100,000 or more     ",*         ,*         ,*         ,*              ,0,0,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99335,120,282,91,"5,044",104,"3,906",55,28,18,7,15,16,10,11,*         ,*              ,*         ,*              ,0,0,17,813,229,11,701,6,16,758,31,0,0,98,458,91,426,11,27,72
"Under $10,000        ",19,28,4,59,13,47,13,2,*         ,*              ,*         ,*              ,10,11,*         ,*              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*         ,*              ,*         ,*              ,0,0,*         
"$10,000 under $25,000",21,50,20,386,17,280,*         ,*              ,*         ,*              ,15,16,*         ,*              ,0,0,0,0,0,0,*         ,*              ,*              ,0,0,0,*         ,*              ,*              ,0,0,18,10,19,11,11,27,21
"$25,000 under $50,000",40,83,23,"1,395",35,"1,115",19,4,18,7,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,17,813,229,11,701,6,16,758,31,0,0,40,96,34,87,*         ,*              ,26
"$50,000 under $75,000",21,61,22,"1,265",21,"1,058",23,22,*         ,*              ,*         ,*              ,0,0,*         ,*              ,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,21,111,19,99,0,0,12
"$75,000 under $100,000",19,60,22,"1,939",18,"1,406",*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,19,241,19,229,0,0,13
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         ,*              ,0,0,0,0,0,0,0,0,0,0,0,*         ,*              ,*              ,0,0,0,0,0,*         ,*              ,*         ,*              ,0,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99336,"17,184","36,488","12,886","673,051","14,996","530,199","6,863","11,369","2,688","6,331","2,295","25,828","1,755","16,743",60,-408,307,"1,040",61,672,"4,096","299,332","66,879","3,400","257,328","11,315","4,078","293,831","14,844",96,172,"13,361","66,903","12,035","64,639","3,384","6,357","9,040"
"Under $10,000        ","3,034","4,483","1,166","10,701","2,525","14,568",677,619,252,321,220,445,300,-14,18,-237,*         ,*              ,0,0,89,528,"1,164",56,359,75,121,"-2,622",282,0,0,576,89,778,267,"1,121","1,373","1,484"
"$10,000 under $25,000","5,041","9,593","3,629","86,787","4,296","71,239","1,231","1,454",421,747,339,201,371,"2,621",*         ,*              ,47,101,*         ,*              ,402,"7,577","5,172",282,"5,371",562,391,"7,387",896,0,0,"3,779","2,883","3,048","2,942","1,655","4,355","2,836"
"$25,000 under $50,000","4,510","10,076","3,820","161,303","4,005","135,082","1,706","2,270",619,"1,166",502,"1,123",406,"3,537",15,-72,101,302,24,162,"1,024","39,424","13,187",768,"29,652","1,577","1,006","38,769","2,606",0,0,"4,415","11,474","3,699","10,255",608,629,"2,370"
"$50,000 under $75,000","2,303","5,929","2,134","141,981","2,066","115,508","1,393","1,826",524,"1,048",449,"1,281",305,"2,932",17,-99,73,254,*         ,*              ,"1,095","68,476","16,406",930,"58,344","2,459","1,081","67,633","3,749",*         ,*              ,"2,297","13,953","2,223","12,877",0,0,"1,181"
"$75,000 under $100,000","1,257","3,534","1,223","108,069","1,159","90,283",951,"1,295",418,793,357,"2,011",183,"1,326",*         ,*              ,36,136,10,72,745,"64,447","12,734",667,"57,736","2,549",739,"63,932","3,083",21,34,"1,256","12,090","1,249","11,417",0,0,600
"$100,000 or more     ","1,039","2,873",914,"164,210",945,"103,519",905,"3,905",454,"2,256",428,"20,767",190,"6,341",10,0,50,247,27,438,741,"118,880","18,216",697,"105,866","4,093",740,"118,732","4,228",75,138,"1,038","26,414","1,038","26,881",0,0,569
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99337,"11,631","26,817","9,150","607,048","10,050","469,492","6,168","10,323","2,476","5,827","2,119","17,340","1,563","16,635",229,"-1,312",260,910,69,"1,339","4,386","361,233","76,183","3,803","326,729","12,812","4,377","355,853","18,950",109,223,"9,534","69,500","9,007","67,882","1,363","2,537","5,904"
"Under $10,000        ","1,882","2,474",416,"4,417","1,545","8,421",610,400,254,228,243,62,173,-283,22,-325,*         ,*              ,0,0,66,387,909,41,256,50,96,"-3,236",221,0,0,469,79,583,192,395,481,803
"$10,000 under $25,000","2,352","4,324","1,415","40,244","1,873","30,301",779,976,293,506,248,266,236,"1,563",19,-203,20,47,0,0,287,"5,212","4,049",214,"3,907",321,279,"5,078",695,0,0,"1,737","1,342","1,551","1,522",679,"1,746","1,246"
"$25,000 under $50,000","2,568","5,999","2,235","94,930","2,197","74,909","1,204","1,700",418,768,343,876,369,"2,458",47,-353,65,209,*         ,*              ,879,"33,824","12,086",718,"27,709","1,575",860,"33,146","2,584",0,0,"2,503","6,423","2,136","5,886",289,310,"1,348"
"$50,000 under $75,000","2,060","5,731","2,124","128,360","1,872","107,124","1,312","1,428",477,872,386,"1,135",348,"2,081",48,-236,64,162,19,111,"1,149","72,231","17,730",977,"61,653","2,491","1,142","71,803","4,210",*         ,*              ,"2,057","11,763","1,981","10,506",0,0,"1,061"
"$75,000 under $100,000","1,438","4,399","1,660","124,016","1,340","105,105","1,102","1,722",426,840,360,"1,886",198,"1,274",47,-451,58,237,*         ,*              ,956,"82,631","16,631",858,"74,300","2,769",954,"82,451","4,175",18,11,"1,437","13,194","1,425","12,118",0,0,692
"$100,000 or more     ","1,331","3,890","1,300","215,081","1,223","143,632","1,161","4,097",608,"2,613",539,"13,115",239,"9,542",46,256,53,255,50,"1,228","1,049","166,948","24,778",995,"158,904","5,606","1,046","166,611","7,065",91,212,"1,331","36,699","1,331","37,658",0,0,754
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99338,"4,004","9,720","3,292","303,577","3,500","227,354","2,713","3,927","1,286","3,095","1,146","15,629",642,"10,697",61,-733,151,660,68,"1,100","2,075","227,244","41,453","1,861","211,373","7,666","2,073","226,220","11,489",84,250,"3,433","42,187","3,357","42,155",234,363,"1,877"
"Under $10,000        ",681,793,69,"1,675",560,"2,913",282,215,124,86,127,-16,44,61,*         ,*              ,0,0,0,0,19,105,349,11,53,16,28,-299,83,0,0,233,58,264,127,84,78,228
"$10,000 under $25,000",488,759,167,"8,118",378,"5,652",223,264,78,108,64,48,58,526,16,-444,10,28,0,0,73,"1,306","1,036",53,942,115,72,"1,285",192,0,0,387,316,364,387,99,237,224
"$25,000 under $50,000",566,"1,245",398,"21,332",451,"15,093",323,442,142,308,133,171,102,"1,074",*         ,*              ,26,91,*         ,*              ,233,"9,123","3,527",190,"7,421",480,230,"9,015",767,0,0,547,"1,429",485,"1,399",51,48,288
"$50,000 under $75,000",613,"1,639",582,"38,778",542,"31,082",448,472,195,398,178,350,125,"1,297",11,-109,27,119,24,107,390,"24,951","6,370",341,"21,909",952,385,"24,661","1,569",0,0,610,"3,544",593,"3,333",0,0,318
"$75,000 under $100,000",632,"2,019",806,"54,899",596,"46,885",507,627,232,325,183,998,125,"1,303",10,-101,36,160,*         ,*              ,482,"42,068","9,037",436,"38,065","1,463",481,"41,980","2,437",*         ,*              ,632,"5,558",628,"5,138",0,0,306
"$100,000 or more     ","1,024","3,265","1,270","178,775",973,"125,729",930,"1,907",515,"1,870",461,"14,078",188,"6,436",24,-79,52,262,44,993,878,"149,691","21,134",830,"142,983","4,640",877,"149,578","6,441",84,250,"1,024","31,282","1,023","31,771",0,0,513
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99341,346,782,272,"11,293",288,"8,138",159,268,85,120,90,78,37,87,20,-108,*         ,*              ,0,0,46,"2,292",697,31,"1,537",67,45,"2,351",118,0,0,251,847,227,769,67,130,205
"Under $10,000        ",73,105,20,29,54,229,30,18,13,7,16,9,14,88,10,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,19,7,18,27,41
"$10,000 under $25,000",97,199,71,"1,675",77,"1,263",39,86,20,20,18,-13,*         ,*              ,*         ,*              ,0,0,0,0,12,211,176,18,509,32,11,188,15,0,0,65,45,57,51,33,88,56
"$25,000 under $50,000",101,242,85,"3,673",93,"2,758",45,91,25,40,29,21,23,-1,10,-37,*         ,*              ,0,0,15,600,219,*         ,*              ,*              ,14,556,34,0,0,99,245,80,213,16,15,59
"$50,000 under $75,000",47,144,59,"2,895",39,"2,162",25,20,16,43,13,3,*         ,*              ,*         ,*              ,0,0,0,0,19,"1,481",302,13,"1,028",35,20,"1,607",69,0,0,46,257,45,227,0,0,29
"$75,000 under $100,000",28,92,37,"3,021",25,"1,726",20,53,11,10,14,58,*         ,*              ,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,27,297,26,271,0,0,20
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,*         ,*              ,*         ,*              ,0,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
